Miejsce;Zawodnik;Punkty
1;Frizen;200
2;Bati;150
3;Tokis;100
4;Łakomy;75
5;Aydyn;60
5;LinvNS;60
7;heros;40
7;JeffreJ;40
9;Caradolph;20
9;Keczmar;20
9;Macias;20
9;Young'Kobe;20
13;Exile;10
13;Nervz;10
13;simek;10
13;Zakuu;10
17;AnCool;0
17;Bulwiakos;0
17;Fasulin;0
17;Pierun;0
17;Pychu;0
17;Redmitsu;0
17;Shizzle;0
17;Zabor;0
25;Bloxer;0
25;dtr;0
25;Geerber;0
25;H3NRY95;0
25;JMastiff;0
25;"KicktownBoy 	";0
25;maciox;0
25;ZaBu;0
33;Amok;0
33;Byfyj;0
33;DiversRV;0
33;Eimal;0
33;Gicik_Amane;0
33;Gracek1135;0
33;kadilpl;0
33;Kubusias;0
33;KucyToKocur;0
33;KaposciuszekPlamisty;0
33;PijanySkryba;0
33;Soqu;0
33;Rambo;0
33;Vanguard;0
33;Wolfenheist;0
33;Ziomek96;0
49;kotlaska;0
49;login100100;0
49;Piaskopływak;0
49;Shishu;0
49;Softon;0
